146
2,G4,G5,_,half
2,G4,G5,_,half
2,G#4,G#5,_,half
2,G4,G5,_,half
2,F4,F5,_,half
2,D#4,D#5,_,half
2,D4,D5,_,half
2,C4,C5,_,half
rest,_,_,_,half
2,B3,B4,_,whole
2,C4,C5,_,half
rest,_,_,_,half
rest,_,_,_,whole
2,G4,G5,_,whole
2,G4,G5,_,half
rest,_,_,_,half
2,D#4,D#5,_,whole
2,D#4,D#5,_,half
rest,_,_,_,half
2,G#4,G#5,_,whole
2,G#4,G#5,_,half
rest,_,_,_,half
2,F4,F5,_,whole
2,F4,F5,_,half
rest,_,_,_,half
rest,_,_,_,half
2,G4,G5,_,half
2,G4,G5,_,half
2,G#4,G#5,_,half
2,G4,G5,_,half
2,F4,F5,_,half
2,D#4,D#5,_,half
2,D4,D5,_,half
2,C4,C5,_,half
2,G4,G5,_,half
2,G4,G5,_,half
2,G#4,G#5,_,half
2,G4,G5,_,half
2,F4,F5,_,half
2,D#4,D#5,_,half
2,D4,D5,_,half
2,C4,C5,_,half
2,G4,G5,_,half
2,G4,G5,_,half
2,G#4,G#5,_,half
2,G4,G5,_,half
2,F4,F5,_,half
2,D#4,D#5,_,half
2,D4,D5,_,half
2,C4,C5,_,half
rest,_,_,_,whole
2,B4,B5,_,half
2,C5,C6,_,half
